ShmooCon,1/31/20 - 2/2/20,,Washington DC,2000,Security,@shmoocon,https://shmoocon.org/,$150,,
Bsides SF,2/23-24/2020,,"San Francisco, CA",,Security,@BSidesSF,https://bsidessf.org/,,,
BSides Atlanta,3/28/2020,Yes,"Atlanta, GA",,Security,@bsidesatl,https://bsidesatl.org/,,,
Bsides Orlando,4/11/20,,"Orlando, FL",760,Security,@BsidesORL,https://bsidesorlando.org/,,,
GrimmCon,4/14/20,Yes,Virtual,,Security,#Grimmcon,https://www.grimm-co.com/grimmcon,$0,,
Defcon China,4/17-20/2020,,China,,Security,@defcon,https://defcon.org/html/defcon-china/dc-cn-index.html,,,
Bsides Iowa,4/18/2020,,"Des Moines, IA",,Security,@bsidesiowa,https://bsidesiowa.com/,,,
Hack In The Box Amsterdam,4/25/2020,Yes,Amsterdam,,Security,@hitbsecconf,https://conference.hitb.org/lockdown-livestream/,$0,,
Infiltrate,4/23-24/2020,,"Miami, FL",,Security,@InfiltrateCon,https://infiltratecon.net/,,,
BSides Knoxville,5/1/2020,Yes,"Knoxville, TN",,Security,@BSidesKnoxville,https://www.10-sec.org/bsides-knoxville,$0,,
BSidesCanberra,5/1-2/2020,,"Canberra, Australia",,Security,@BSidesCbr,https://www.bsidesau.com.au/,,,4/9-10/2021
CackalackyCon,5/1-3/2020,,North Carolina,,Security,@CackalackyCon,https://cackalackycon.org/,,,
InfoSec Southwest,5/1-3/2020,,"Austin, TX",,Security,@InfoSecConf,https://infosecsouthwest.com/,$160-190,,
BSides Nashville,5/9/2020,,"Nashville, TN",,Security,@bsidesnash,https://bsidesnash.org/,$20,,
BSides Stuttgart,5/19-20/2020,,"Stuttgart,Germany",,Security,@BSidesStuttgart,https://www.bsidesstuttgart.org/,€20- 40,,
LayerOne,5/22-24/2020,,"Los Angeles, CA",,Security,@layer_one,https://www.layerone.org/,$120,,
Bsides Brussels,5/28/2020,,"Brussels, Belgium",,Security,@BSidesBrussels,https://www.bsidesbrussels.org/,"€40,87-80",,
YSTS,5/28/20,,Brazil,,Security,@ystscon,https://www.ysts.org/,,later in the year,
Insomnihack,6/4-5/2020,,"Geneva, Switzerland",,Security,@1ns0mn1h4ck,https://insomnihack.ch/,,,
Hush Con New York,6/5-6/2020,,New York,,Security,@hushcon,http://hushcon.com/,,,
Summercon,6/12-13/2020,Yes,"Brooklyn, NY",,Security,@summerc0n,https://summercon.org/,, ,
Circle City Con,6/12-14/2020,Yes,"Indianapolis, IN",,Security,@CircleCityCon,https://circlecitycon.com/,$75-$150,,
Hack in Paris,6/15-19/2020,,"Paris, France",,Security,@hackinparis,https://hackinparis.com/,,,2/15-19/2021
BSides Cleveland,6/19/2020,,"Cleveland, OH",,Security,@bsidescleveland,http://bsidescle.com/,,,
Recon,6/19-21/2020,,"Montreal, Canada",,Security,@reconmtl,https://recon.cx/,,Might be pushed back,
BlueTeamCon,6/20-21/2020,,"Chicago, IL",1000,Security,@BlueTeamCon,https://blueteamcon.com/,,,28-29 August 2021
BSidesNH,6/27/20,,Southern NH University,,Security,@BSidesNH,http://bsidesnh.com/,,,
ToorCamp VirtualToor,6/27-28/2020,Yes,"San Juan Island, WA",,Security,@toorcamp,https://toorcamp.toorcon.net/about/,,Biennial,
BSidesTLV,7/2/2020,Yes,"Tel Aviv, Israel",,Security,@BsidesTLV,https://bsidestlv.com/,,,
Steelcon,7/7-12/2020,,"Sheffield, UK",,Security,@steel_con,https://www.steelcon.info/,,make sure I am there on Friday and on Sunday for laser quest,
BSidesSATX,7/11/2020,Yes,,,Security,,https://www.bsidessatx.com/,$0,,
BisdesBristol,7/29-30/2020,,"Bristol, UK",,Security,@bsidesbristol,https://www.bsidesbristol.org.uk/,,,
HOPE,7/25/2020-8/2/2020,Yes,"New York, NY",,Security,@hopeconf,https://www.hope.net/,$100-200,Biennial,
Blackhat,8/1-6/2020,yes,"Las Vegas, NV",,Security,@blackhatevents,https://blackhat.com/,,,
Bsides LV,8/4-5/2020,,"Las Vegas, NV",,Security,@BSidesLV,https://www.bsideslv.org/,$0,,
Defcon,8/5-8/2021,yes,"Las Vegas, NV","25,000",Security,@Defcon,https://www.defcon.org/,$350,they need to make sure by March if covid will be gone or not,
BSide Columbus,8/21/2020,yes,"Columbus, OH",,Security,@BSidesColumbus,https://www.bsidescolumbus.com/,,,
NolaCon,9/4-6/2020,,"New Orleans, LA",400-500,Security,@nola_con,https://nolacon.com/,$175,,
BSidesCharm,9/5-6/2020,,"Baltimore, MD",,Security,@BSidesCharm,http://www.bsidescharm.com/,,,
Hitcon,9/11-12/2020,,"Academia Sinica Taipei, Taiwan",,Security, ,hitcon.org,,,
Thotcon,9/11-13/2020,,"Chicago, IL",1500,Security,@thotcon,https://www.thotcon.org/,,,
VXcon,9/14-15/2020,,"Taipei, Taiwan",,Security,,https://www.vxcon.hk/,,,
SEC-T,9/16-18/2020,,"Stockholm, Sweden",,Security,@SEC_T_org,https://www.sec-t.org/,,,
Bsides STL,,,"St. Louis, MO",,Security,@bsidesstl,http://www.securitybsides.com/w/page/131073465/BSidesSTL2019,,,
Bsides Denver,9/18/2020,Yes,"Denver, CO",,Security,@bsidesden,https://www.bsidesden.org/,,,
Anycon,9/19-20/2020,,"Albany, NY",,Security,@anyconsec,http://www.anycon.info/,,,
WildWestHackinFest,9/23-25/2020,Yes,"Deadwood, SD",,Security,@WWHackinFest,https://www.wildwesthackinfest.com/,,,
Ekoparty,9/23-26/2020,hybrid,"Buenos Aires, Argentina",,Security,@ekoparty,https://www.ekoparty.org/,,,
Bsides Varazdin,9/29/2020,,"Varaždin, Croatia",,Security,@BSidesVarazdin,https://bsidesvarazdin.org/,,,
Bsides Boston,9/26/2020,Yes,"Cambridge, MA",,Security,@BsidesBoston,www.bsidesboston.org,,,
BruCON,10/1-2/2020,,"Ghent, Belgian",,Security,@brucon,https://www.brucon.org/,,,
Bsides MSP,10/8-9/2020,,"Minneapolis, MN",,Security,@bsidesmsp,http://www.securitybsides.com/w/page/131911830/bsidesmsp2019,,,
Rootcon,10/9-10/2020,Yes,Philippines,,Security,@rootconph,https://www.rootcon.org/,,,
BSidesAugusta,10/17/2020,,"Augusta, GA",,Security,@BSidesAugusta,https://bsidesaugusta.org/,,,
BsidesPR,,,Puerto Rico,,Security,@BSidesPR,https://bsidespr.org/,,,
ShellCon,10/9-10/2020,Yes,"San Pedro, CA",,Security,@shellconla,https://shellcon.io/,,,
Bsides DC,10/16-18/2020,,Washington DC,,Security,@bsidesDC,http://bsidesdc.org/,,,
SAINTCON,10/20-23/2020,hybrid,"Provo, UT",1200,Security,@SAINTCON,https://www.saintcon.org/,,,
Bsides Scotland,,,Scotland,,Security,@BSidesScot,https://www.bsidesscotland.org.uk/,,,
Bsides Vienna,2021,,"Vienna, Austria",,Security,@BSidesVienna,https://bsidesvienna.at/,$0,,
Bsides PDX,10/23-24/2020,Yes,"Portland, OR",,Security,@bsidesPDX,https://bsidespdx.org/,,,
Bsides London,10/23-24/2020,,"London, UK",,Security,@BsidesLondon,https://www.securitybsides.org.uk/,,,
Bsides Seattle,10/24/2020,Yes,"Seattle, WA",,Security,@bsidesseattle,bsidesseattle.com,,,
H2HC,10/24-25/2020,,"Sao Paulo, Brazil",,Security,@h2hconference,https://www.h2hc.com.br/h2hc/pt/,,,
Bsides Tokyo,,,Japan,,Security,,https://techplay.jp/event/749266,,,
CodeBlue,,,Japan,,Security,,,,,
Defcamp,,,Romania,,Security,@defcampRO,https://def.camp/,,,
ToorCon,,,"San Diego, CA",200,Security,@toorcon,https://sandiego.toorcon.net/,$163-$353,,
BSides Detroit,11/7/20,,"Detroit, MI",,Security,@BSidesDetroit,http://www.securitybsides.com/w/page/134397363/BSidesDetroit%202019,,,
Kawaiicon,11/6-7/2020,,"Wellington, New Zealand",,Security,@kawaiiconNZ,https://kawaiicon.org/,,,
Bsides CHS,11/6-7/2020,,"Charleston, SC",,Security,@BSidesCHS,http://www.bsidescharleston.com/,,,
Hackfest,11/20-21/2020,,"Quebec City, Canada",,Security,@hackfest_ca,https://hackfest.ca/,,,
Bsides CT,,,"New Britain, CT",,Security,@bsidesCT,https://bsidesct.org/,,,
Bsides Liverpool,11/21/2020,,"Liverpool, England",,Security,@BsidesLivrpool,https://bsidesliverpool.com/,,,
Bsides Lisbon,2021,,"Lisbon, Portugal",,Security,@bsideslisbon,https://bsideslisbon.org/,,,
Cactus Con,,,"Mesa, AZ",800,Security,@CactusCon,https://www.cactuscon.com/,,,
Hush Con West,12/??/2020,,"Seattle, WA",,Security,@hushcon,http://hushcon.com/,,,
Chaos Communication Congress,12/27/2019,,Germany,,Security,,https://events.ccc.de/,,,
Shakacon,2020,,"Honolulu, HI",,Security,@shakacon,https://www.shakacon.org/,$400,,
CCCamp,2023,,Germany,,Security,,https://events.ccc.de/,,,
Bsides Istanbul,,,Turkey,,Security,@bsidesistanbul,https://bsidesistanbul.com/,,Not sure what is going on,
BSides Philly,,,"Philadelphia, PA",350,Security,@BSidesPhilly,https://www.bsidesphilly.org/,,,
Bsides Long Island,,,"Glen Head, NY",,Security,@BSidesLI,https://www.bsidesli.org/,,,
Derbycon ,,,"Louisville, KY",,Security,@DerbyCon,https://www.derbycon.com/,,,
Bsides Indy,,,"Indianapolis, IN",,Security,@indybsides,http://bsidesindy.org/,,,
Kiwicon,,,New Zealand,,Security,@kiwicon,https://www.kiwicon.org/,,turned into kawaiicon,
Bsides RI,,,Rhode Island,,Security,@BsidesRI,http://www.securitybsides.com/w/page/61966594/BSidesRI,,,
RSA,2/24-28/2020,,"San Francisco, CA",,Security Trade Show,@RSAsecurity,https://www.rsa.com/,,,
Sparkle con,1/25-26/2020,,"Fullerton, CA",,Security/Maker,@sparklecon23b,http://www.sparklecon.org/,$40,,
Objective By The Sea,March 12th - 13th,,Hawaii,,Security,@objective_see,https://objectivebythesea.com/v3/,,,
,,,,,,,,,,
,,,,,,,,,,
Source: https://docs.google.com/spreadsheets/d/1SdJwWAwutrIKfh4o3c209hH81zB1e3gNS2StoBoqApU/edit#gid=0,,,,,,,,,,
