"No.","Time","Source","Destination","Protocol","Length","Channel frequency","Data rate (Mb/s)","Channel","Channel","Transmitter address","Destination address","Type/Subtype","Info"
"36","1.008297","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=467, FN=0, Flags=....R...C"
"105","1.336975","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=467, FN=0, Flags=....R...C"
"106","1.336977","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=468, FN=0, Flags=........C"
"108","1.336982","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=468, FN=0, Flags=....R...C"
"112","1.336989","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=468, FN=0, Flags=....R...C"
"118","1.337001","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=468, FN=0, Flags=....R...C"
"119","1.337003","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=468, FN=0, Flags=....R...C"
"172","1.337132","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=468, FN=0, Flags=....R...C"
"210","1.337226","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=468, FN=0, Flags=....R...C"
"211","1.337227","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=469, FN=0, Flags=........C"
"214","1.337233","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=469, FN=0, Flags=....R...C"
"215","1.337235","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=469, FN=0, Flags=....R...C"
"233","1.337286","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=469, FN=0, Flags=....R...C"
"270","1.337370","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=469, FN=0, Flags=....R...C"
"318","1.350324","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=469, FN=0, Flags=....R...C"
"375","1.409099","MurataMa_20:43:dc","6c:3f:23:e3:70:30","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:30","Authentication","Authentication, SN=469, FN=0, Flags=....R...C"
"423","1.450201","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=480, FN=0, Flags=........C"
"424","1.451116","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=480, FN=0, Flags=....R...C"
"426","1.454846","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=480, FN=0, Flags=....R...C"
"503","1.514211","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=480, FN=0, Flags=....R...C"
"540","1.539811","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=480, FN=0, Flags=....R...C"
"584","1.579210","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=480, FN=0, Flags=....R...C"
"585","1.580112","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=481, FN=0, Flags=........C"
"589","1.583200","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=481, FN=0, Flags=....R...C"
"592","1.586207","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=481, FN=0, Flags=....R...C"
"607","1.597864","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=481, FN=0, Flags=....R...C"
"621","1.612136","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=481, FN=0, Flags=....R...C"
"622","1.612974","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=481, FN=0, Flags=....R...C"
"665","1.649819","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=482, FN=0, Flags=........C"
"690","1.666895","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=482, FN=0, Flags=....R...C"
"723","1.682255","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=482, FN=0, Flags=....R...C"
"724","1.683150","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=482, FN=0, Flags=....R...C"
"734","1.691426","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=482, FN=0, Flags=....R...C"
"772","1.723686","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=482, FN=0, Flags=....R...C"
"886","1.800818","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=482, FN=0, Flags=....R...C"
"887","1.801717","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=483, FN=0, Flags=........C"
"891","1.806251","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=483, FN=0, Flags=....R...C"
"926","1.826850","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=483, FN=0, Flags=....R...C"
"1055","1.921765","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=483, FN=0, Flags=....R...C"
"1163","1.978912","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=483, FN=0, Flags=....R...C"
"1164","1.979807","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=484, FN=0, Flags=........C"
"1165","1.980702","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=484, FN=0, Flags=....R...C"
"1173","1.989361","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","69","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=484, FN=0, Flags=....R...C"
"1178","2.057670","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=484, FN=0, Flags=....R...C"
"1179","2.058557","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=485, FN=0, Flags=........C"
"1189","2.063583","MurataMa_20:43:dc","6c:3f:23:e3:70:2e","802.11","70","2412","1","1","1","fc:c2:de:20:43:dc","6c:3f:23:e3:70:2e","Authentication","Authentication, SN=485, FN=0, Flags=....R...C"
"2828","3.820847","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=........C, SSID=McDonalds Free WiFi"
"2829","3.821785","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2830","3.822660","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2831","3.823607","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2832","3.824577","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2833","3.825490","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2834","3.826402","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
"2835","3.827440","SamsungE_ed:28:4d","6c:3f:23:e3:70:38","802.11","109","2412","1","1","1","dc:44:b6:ed:28:4d","6c:3f:23:e3:70:38","Probe Request","Probe Request, SN=1389, FN=0, Flags=....R...C, SSID=McDonalds Free WiFi"
